100466,f,introcob,,,
100632,g,introcob,,,
100790,d,introcob,,,
101064,g,introcob,,,
101339,f,introcob,,,
101481,g,introcob,,,
101624,d,introcob,,,
101900,*end,introcob off,,,
105231,a,chorus 2,,,
105402,a,chorus same,,,
105627,j,chorus 6,,,
105837,j,chorus same,,,
106094,h,chorus 5,,,
106338,g,chorus 4,,,
106649,f,chorus 3,,,
106936,d,chorus 2,,,
107210,s,chorus 1,,,
107516,d,chorus 2,,,
107811,f,chorus 3,,,
108088,g,chorus 4,,,
108361,h,chorus 5,,,
108669,j,chorus 6,,,
109397,a,chorus 2,,,
109763,a,chorus same,,,
110047,h,chorus 6,,,
110320,h,chorus same,,,
110595,g,chorus 5,,,
110883,f,chorus 4,,,
111156,d,chorus 3,,,
111452,s,chorus 2,,,
111707,a,chorus 1,,,
111988,s,chorus 2,,,
112273,d,chorus 3,,,
112576,f,chorus 4,,,
112831,g,chorus 5,,,
113141,h,chorus 6,,,
113800,*end,chorus off,,,
113912,h,scalel 5,,,
114260,j,scalel 6,,,
114532,g,scalel 4,,,
114809,h,scalel 5,,,
115093,j,scalel 6,,,
115397,k,scalel 7,,,
115684,l,scalel 8,,,
115950,k,scalel 5,,,
116224,j,scalel 3,,,
116503,h,scalel 2,,,
116822,f,scalel 1,,,
117086,g,scalel 2,,,
117339,h,scalel 3,,,
117635,j,scalel 5,,,
118135,h,scalel 4,,,
118427,j,scalel 5,,,
118791,k,scalel 6,,,
119334,l,scalel 7,,,
119628,k,scalel 6,,,
119876,k,scalel 6,,,
120150,j,scalel 5,,,
120424,h,scalel 4,,,
120720,g,scalel 3,,,
120987,f,scalel 2,,,
121527,comfort,scalel 4,,,
121698,fort,scalel 3,,,
121854,and,scalel 2,,,
122178,joy,scalel 5,,,
122829,o,scalel 3,,,
123041,o,scalel 4,,,
123296,tidi,scalel 5,,,
123551, -id,scalel 6,,,
123831,-ings,scalel 7,,,
124070,of,scalel 8,,,
124352,k,scalel 5,,,
124605,j,scalel 4,,,
124896,h,scalel 3,,,
125162,g,scalel 2,,,
125468,f,scalel 1,,,
125530,*end,scalel off,,,
125551,g,cobbeat,,,
125739,f,cobbeat,,,
125852,g,cobbeat,,,
125975,d,cobbeat,,,
128788,g,cobbeat,,,
129131,f,cobbeat,,,
129273,g,cobbeat,,,
129355,d,cobbeat,,,
129550,*end,cobbeat off,,,
131088,a,,,,
131343,a,,,,
131656,a,,,,
132013,verse2,scalellvl 1,,,
132258,a,scalellvl same,,,
132524,h,scalellvl 5,,,
132801,h,scalellvl same,,,
133088,g,scalellvl down,,,
133399,f,scalellvl down,,,
133685,d,scalellvl down,,,
133952,s,scalellvl down,,,
134215,a,scalellvl down,,,
134470,s,scalellvl up,,,
134729,d,scalellvl up,,,
134993,f,scalellvl up,,,
135279,g,scalellvl up,,,
135585,h,scalellvl up,,,
136452,f,scalellvl 1,,,
136706,f,scalellvl same,,,
137033,j,scalellvl 5,,,
137276,j,scalellvl same,,,
137533,h,scalellvl down,,,
137803,g,scalellvl down,,,
138088,f,scalellvl down,,,
138374,d,scalellvl down,,,
138669,s,scalellvl down,,,
138945,a,scalellvl up,,,
139222,s,scalellvl up,,,
139512,d,scalellvl up,,,
139769,f,scalellvl up,,,
140046,g,scalellvl up,,,
140922,g,scalellvl same,,,
141214,h,scalellvl up,,,
141511,f,scalellvl 4,,,
141768,g,scalellvl up,,,
142043,h,scalellvl up,,,
142325,j,scalellvl up,,,
142609,k,scalellvl up,,,
142902,power,scalellvl 5,,,
143160,when,scalellvl down,,,
143434,we,scalellvl down,,,
143759,had,scalellvl 1,,,
144023,gone,scalellvl up,,,
144277,as,scalellvl up,,,
144613,stray,scalellvl up,,,
145114,g,scalellvl down,,,
145365,h,scalellvl up,,,
145698,j,scalellvl up,,,
146273,k,scalellvl up,,,
146567,j,scalellvl down,,,
146812,j,scalellvl same,,,
147086,h,scalellvl down,,,
147352,g,scalellvl down,,,
147638,f,scalellvl down,,,
147916,d,scalellvl down,,,
148477,f,scalellvl 3,,,
148659,d,scalellvl down,,,
148816,s,scalellvl down,,,
149091,g,scalellvl 5,,,
149610,d,scalellvl down,,,
149868,f,scalellvl up,,,
150141,g,scalellvl up,,,
150426,h,scalellvl up,,,
150729,j,scalellvl up,,,
151014,k,scalellvl up,,,
151322,j,scalellvl 5,,,
151574,h,scalellvl down,,,
151860,g,scalellvl down,,,
152112,f,scalellvl down,,,
152399,d,scalellvl down,,,
152600,*end,scalellvl off,,,
152343,l,introcob reset,introcob,,
152645,k,introcob,,,
152786,l,introcob,,,
152885,j,introcob,,,
152990,*end,introcob off
153232,h,scaledown reset,scaledown,,
