190864,g,bridgebeat up,
192677,g,bridgebeat same,
193459,k,bridgebeat up,
194386,f,bridgebeat 4,
198069,d-bridge,bridgemelody,
198288,f,bridgemelody,
198736,f,bridgemelody,
198921,f,bridgemelody,
199333,f,bridgemelody,
199638,d,bridgemelody,
200055,f,bridgemelody,
200500,f,bridgemelody,
201590,d,bridgemelody,
201863,f,bridgemelody,
202333,f,bridgemelody,
202543,f,bridgemelody,
202920,f,bridgemelody,
203206,d,bridgemelody,
203620,f,bridgemelody,
204068,f,bridgemelody,
205907,g,bridgemelody,
206488,g,bridgemelody,
207871,f,bridgemelody,
208113,g,bridgemelody,
208527,j,bridgemelody,
209036,f,bridgemelody,
212366,d,bridgemelody,
212609,f,bridgemelody,
213039,f,bridgemelody,
213279,f,bridgemelody,
213637,f,bridgemelody,
213953,d,bridgemelody,
214370,f,bridgemelody,
214817,f,bridgemelody,
215974,d,bridgemelody,
216209,f,bridgemelody,
216592,f,bridgemelody,
216824,f,bridgemelody,
217230,f,bridgemelody,
217525,d,bridgemelody,
217919,f,bridgemelody,
218441,f,bridgemelody,
220255,g,bridgemelody,
220785,h,bridgemelody,
222150,g,bridgemelody,
222432,h,bridgemelody,
222880,j,bridgemelody,
223378,j,bridgemelody,wait 400 bridgemelody off
225183,k,candlerand,
225570,l,candlerand,
225774,k,candlerand,
225944,j,candlerand,
226201,h,candlerand,wait 300 candlerand off
226735,d,shout on,wait 600 shout off
228033,f,chorusm 4,
228321,g,chorusm up,
229466,d,chorusm 3,
229839,s,chorusm 1,
230283,f,chorusm 4,
231110,d,chorusm 3,
232002,d,chorusm same,
232943,s,chorusm 2,
233414,d,chorusm 3,
233788,f,chorusm 4,
234632,d,chorusm 3,
235518,d,chorusm same,
236499,s,chorusm 2,
236937,d,chorusm 3,
237407,f,chorusm 4,
238268,d,chorusm 6,
239068,d,chorusm 5,wait 1500 chorusm off
241057,g,shout on,wait 600 shout off
242319,d,chorusm 4,
242617,f,chorusm up,
243098,g,chorusm up,
243727,s,chorusm 3,
244152,a,chorusm 1,
244629,f,chorusm 4,
245442,s,chorusm 3,
246315,s,chorusm same,
247252,a,chorusm 2,
247699,s,chorusm 3,
248154,d,chorusm 4,
249069,s,chorusm 3,
249950,s,chorusm same,
250806,a,chorusm 2,
251273,s,chorusm 3,
251786,d,chorusm 4,
252679,g,chorusm 6,
253554,f,chorusm 5,wait 1500 chorusm off
255399,a,,
257986,s,,
258950,d,,
260850,d,,
261600,f,,
262526,g,,
264505,g,,
265379,j,,
266424,s,,
